lat,lon,rssi,snr
46.79613416666667,-71.23060633333333,-102.0,1.5
46.796135,-71.23059416666666,,
46.796135,-71.23059416666666,,
46.79613033333333,-71.23057733333333,,
46.79613033333333,-71.23057733333333,-101.0,1.75
46.79613033333333,-71.23057733333333,,
46.79613033333333,-71.23057733333333,,
46.79613033333333,-71.23057733333333,-104.0,-0.5
46.79613033333333,-71.23057733333333,,
46.79612683333333,-71.23057166666666,,
46.79612683333333,-71.23057166666666,,
46.796126,-71.23056816666667,,
46.796126,-71.23056816666667,-103.0,0.5
46.79612616666667,-71.23056766666667,,
46.79612616666667,-71.23056766666667,,
46.796128,-71.23056933333334,-100.0,2.25
46.796128,-71.23056933333334,,
46.79612983333333,-71.23056666666666,,
46.79612983333333,-71.23056666666666,,
46.79612983333333,-71.23056666666666,-101.0,2.0
46.79612983333333,-71.23056666666666,,
46.79612483333333,-71.230569,,
46.79612483333333,-71.230569,,
46.79612483333333,-71.23056916666667,-100.0,2.5
46.79612483333333,-71.23056916666667,,
46.79612633333333,-71.23057233333333,,
46.79612633333333,-71.23057233333333,,
46.796125833333335,-71.23057116666666,-99.0,3.0
46.796125833333335,-71.23057116666666,,
46.796125833333335,-71.23057116666666,,
46.796125833333335,-71.23057116666666,,
46.796112,-71.23059166666667,-103.0,0.25
46.796112,-71.23059166666667,,
46.79611216666667,-71.23059133333334,,
46.79611216666667,-71.23059133333334,,
46.7961125,-71.23059083333334,-105.0,-2.0
46.7961125,-71.23059083333334,,
46.79611583333333,-71.230585,,
46.79611583333333,-71.230585,,
46.79611766666667,-71.23058166666667,-107.0,-2.75
46.79611766666667,-71.23058166666667,,
46.79611766666667,-71.23058166666667,,
46.79611766666667,-71.23058166666667,,
46.796118,-71.23057583333333,-107.0,-3.25
46.796118,-71.23057583333333,,
46.79611766666667,-71.230574,,
46.79611766666667,-71.230574,-108.0,-3.75
46.796120333333334,-71.23054166666667,,
46.796120333333334,-71.23054166666667,,
46.79611533333333,-71.2305365,,
46.79611533333333,-71.2305365,-106.0,-2.25
46.796111833333335,-71.23053533333334,,
46.796111833333335,-71.23053533333334,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,-107.0,-2.25
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,-107.0,-2.75
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,-105.0,-1.0
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,,
46.79611166666667,-71.2305355,-108.0,-4.25
46.79611283333333,-71.23056,,
46.79611283333333,-71.23056,,
46.79611283333333,-71.2305595,,
46.79611283333333,-71.2305595,-112.0,-8.0
46.796112666666666,-71.230558,,
46.796112666666666,-71.230558,,
46.796112666666666,-71.2305575,-113.0,-8.5
46.796112666666666,-71.2305575,,
46.796112666666666,-71.23055633333334,,
46.796112666666666,-71.23055633333334,,
46.796112666666666,-71.23055566666666,-112.0,-7.5
46.796112666666666,-71.23055566666666,,
46.7961125,-71.230555,,
46.7961125,-71.230555,,
46.7961125,-71.2305535,-113.0,-7.75
46.7961125,-71.2305535,,
46.7961125,-71.23055266666667,,
46.7961125,-71.23055266666667,,
46.7961125,-71.23055266666667,-102.0,1.25
46.7961125,-71.23055266666667,,
46.7961125,-71.23055233333334,,
46.7961125,-71.23055233333334,,
46.79611216666667,-71.230545,-112.0,-6.25
46.79611216666667,-71.230545,,
46.796112,-71.23054216666667,,
46.796112,-71.23054216666667,-115.0,-11.0
46.796112,-71.230542,,
46.796112,-71.230542,,
46.796112,-71.230542,,
46.796112,-71.230542,,
46.796112,-71.23054183333333,-109.0,-4.5
46.796112,-71.23054183333333,,
46.796112,-71.23054166666667,,
46.796112,-71.23054166666667,-108.0,-3.5
46.796112,-71.23054166666667,,
46.796112,-71.23054166666667,,
46.796112,-71.23054133333333,,
46.796112,-71.23054133333333,-105.0,-1.0
46.796112,-71.23054133333333,,
46.796112,-71.23054133333333,,
46.796111833333335,-71.2305395,,
46.796111833333335,-71.2305395,-106.0,-2.75
46.796111833333335,-71.23053933333334,,
46.796111833333335,-71.23053933333334,,
46.796111833333335,-71.2305385,,
46.796111833333335,-71.2305385,-113.0,-8.25
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,-111.0,-5.75
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,-108.0,-3.5
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,,
46.796111833333335,-71.23053783333333,-105.0,-0.75
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,-100.0,2.25
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,-101.0,2.5
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,-99.0,3.25
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053716666666,,
46.796111833333335,-71.23053666666667,-99.0,3.0
46.796111833333335,-71.23053666666667,,
46.796111833333335,-71.23053666666667,,
46.796111833333335,-71.23053666666667,,
46.796111833333335,-71.23053666666667,-103.0,0.75
46.796111833333335,-71.23053666666667,,
46.796105833333336,-71.23055066666667,,
46.796105833333336,-71.23055066666667,,
46.79610566666667,-71.23055116666667,-102.0,1.75
46.79610566666667,-71.23055116666667,,
46.7961055,-71.23055133333334,,
46.7961055,-71.23055133333334,,
46.79610266666667,-71.230558,-101.0,2.0
46.79610266666667,-71.230558,,
46.7961025,-71.23055816666667,,
46.7961025,-71.23055816666667,,
46.796104666666665,-71.23055416666666,-102.0,1.0
46.796104666666665,-71.23055416666666,,
46.796104666666665,-71.23055416666666,,
46.796104666666665,-71.23055416666666,,
46.796104666666665,-71.23055433333333,-99.0,2.75
46.796104666666665,-71.23055433333333,,
46.796104666666665,-71.23055433333333,,
46.796104666666665,-71.23055433333333,-98.0,3.25
46.7961045,-71.2305545,,
46.7961045,-71.2305545,,
46.7961045,-71.23055466666666,,
46.7961045,-71.23055466666666,-98.0,3.5
46.79610433333333,-71.230555,,
46.79610433333333,-71.230555,,
46.79610666666667,-71.23055666666667,,
46.79610666666667,-71.23055666666667,-99.0,3.0
46.796106,-71.23055866666667,,
46.796106,-71.23055866666667,,
46.796106,-71.230559,,
46.796106,-71.230559,-99.0,2.25
46.796106,-71.23055933333333,,
46.796106,-71.23055933333333,,
46.796106,-71.2305595,,
46.796106,-71.2305595,-100.0,2.5
46.796106,-71.23055983333333,,
46.796106,-71.23055983333333,,
46.796105833333336,-71.23056016666666,,
46.796105833333336,-71.23056016666666,-101.0,1.75
46.796105833333336,-71.2305605,,
46.796105833333336,-71.2305605,,
46.796105833333336,-71.230561,,
46.796105833333336,-71.230561,-103.0,0.0
46.796105833333336,-71.23056133333333,,
46.796105833333336,-71.23056133333333,,
46.79610566666667,-71.23056166666667,-105.0,-1.75
46.79610566666667,-71.23056166666667,,
46.79610566666667,-71.23056216666667,,
46.79610566666667,-71.23056216666667,,
46.79611666666667,-71.230559,-108.0,-4.0
46.79611666666667,-71.230559,,
46.79611633333333,-71.23056116666666,,
46.79611633333333,-71.23056116666666,,
46.796117,-71.23056,-107.0,-4.0
46.796117,-71.23056,,
46.796118666666665,-71.23056233333334,,
46.796118666666665,-71.23056233333334,,
46.79611883333333,-71.23056266666667,-108.0,-4.0
46.79611883333333,-71.23056266666667,,
46.796119,-71.23056283333334,,
46.796119,-71.23056283333334,,
46.796119166666664,-71.230563,-104.0,-1.25
46.796119166666664,-71.230563,,
46.796119166666664,-71.23056316666667,,
46.796119166666664,-71.23056316666667,,
46.796119166666664,-71.23056316666667,-102.0,1.5
46.796119166666664,-71.23056316666667,,
